dummy_cell_id_year,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,elev,dist_sett,dist_riv,dist_road,dist_pa,npp,treecov,agriculture,team,year,eff1,eff2,eff3,eff4,eff5,eff6,eff7,eff8,eff9,eff10,eff11,eff12,eff13,eff14,team1,team2,team3,team4,team5,team6,team7,team8,team9,team10,team11,team12,team13,team14
1-2016,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.452014289,2.605840812,0.284752722,-0.6206498,-0.633977611,-0.047934276,1.400610808,-0.503696379,T1,2016,-0.81285407,0.767442136,0.767442136,0.767442136,-1.761031794,NA,NA,NA,NA,NA,NA,NA,NA,NA,T1,T1,T1,T1,T1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2-2016,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.483945388,2.609076375,0.299341766,-0.463484887,-0.65981715,-0.015268759,1.421658415,-0.503696379,T1,2016,-0.075382507,0.767442136,0.767442136,0.767442136,0.556735975,NA,NA,NA,NA,NA,NA,NA,NA,NA,T1,T1,T1,T1,T1,NA,NA,NA,NA,NA,NA,NA,NA,NA
3-2017,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.483945388,2.609076375,0.299341766,-0.463484887,-0.65981715,-0.015268759,1.22220383,-0.503696379,T1,2017,0.240676734,0.767442136,0.767442136,0.767442136,-0.286088668,NA,NA,NA,NA,NA,NA,NA,NA,NA,T1,T1,T1,T1,T1,NA,NA,NA,NA,NA,NA,NA,NA,NA
4-2008,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.411605924,2.397798195,0.077108072,-0.105015556,-0.69013539,-0.344594222,1.491053834,-0.503696379,T1,2008,0.451382895,-2.077091035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T1,T1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5-2014,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.411605924,2.397798195,0.077108072,-0.105015556,-0.69013539,0.095865558,1.865514027,-0.503696379,T1,2014,0.556735975,0.767442136,-1.128913311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T1,T1,T1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6-2015,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.411605924,2.397798195,0.077108072,-0.105015556,-0.69013539,0.095865558,1.748692112,-0.503696379,T1,2015,-1.444972553,0.767442136,0.662089056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T1,T1,T1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7-2016,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.411605924,2.397798195,0.077108072,-0.105015556,-0.69013539,0.095865558,1.533240738,-0.503696379,T1,2016,-0.075382507,0.767442136,0.767442136,0.767442136,0.767442136,-2.182444116,NA,NA,NA,NA,NA,NA,NA,NA,T1,T1,T1,T1,T1,T1,NA,NA,NA,NA,NA,NA,NA,NA
8-2017,0,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.411605924,2.397798195,0.077108072,-0.105015556,-0.69013539,0.095865558,1.306595779,-0.503696379,T1,2017,0.240676734,0.767442136,0.767442136,0.767442136,-0.286088668,NA,NA,NA,NA,NA,NA,NA,NA,NA,T1,T1,T1,T1,T1,NA,NA,NA,NA,NA,NA,NA,NA,NA
9-2008,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.354661217,2.241583822,-0.197898417,-0.04721541,-0.701312125,-0.262146411,1.48704005,-0.503696379,T1,2008,-1.444972553,0.767442136,-0.075382507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T1,T1,T1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10-2016,1,1,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,0.354661217,2.241583822,-0.197898417,-0.04721541,-0.701312125,0.165578036,1.486133442,-0.503696379,T1,2016,0.029970573,0.767442136,0.767442136,0.767442136,0.767442136,-1.971737955,NA,NA,NA,NA,NA,NA,NA,NA,T1,T1,T1,T1,T1,T1,NA,NA,NA,NA,NA,NA,NA,NA
11-2017,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.354661217,2.241583822,-0.197898417,-0.04721541,-0.701312125,0.165578036,1.240319795,-0.503696379,T1,2017,0.135323654,0.767442136,0.767442136,0.767442136,-0.81285407,NA,NA,NA,NA,NA,NA,NA,NA,NA,T1,T1,T1,T1,T1,NA,NA,NA,NA,NA,NA,NA,NA,NA
12-2008,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.250304912,2.097108541,0.290016593,0.036029341,-0.710329539,-0.196388983,1.478154416,-0.503696379,T2,2008,-0.70750099,-1.444972553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T2,T2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13-2014,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.250304912,2.097108541,0.290016593,0.036029341,-0.710329539,0.214154678,1.917173971,-0.503696379,T2,2014,0.662089056,0.767442136,-1.023560231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T2,T2,T2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14-2015,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.250304912,2.097108541,0.290016593,0.036029341,-0.710329539,0.214154678,1.810669434,-0.503696379,T2,2015,-1.550325633,0.767442136,0.767442136,-1.971737955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T2,T2,T2,T2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15-2016,1,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.250304912,2.097108541,0.290016593,0.036029341,-0.710329539,0.214154678,1.476760918,-0.503696379,T2,2016,0.029970573,0.767442136,0.767442136,0.767442136,0.767442136,-1.866384874,NA,NA,NA,NA,NA,NA,NA,NA,T2,T2,T2,T2,T2,T2,NA,NA,NA,NA,NA,NA,NA,NA
16-2017,0,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.250304912,2.097108541,0.290016593,0.036029341,-0.710329539,0.214154678,1.081858177,-0.503696379,T2,2017,0.135323654,0.767442136,0.767442136,0.767442136,-0.075382507,NA,NA,NA,NA,NA,NA,NA,NA,NA,T2,T2,T2,T2,T2,NA,NA,NA,NA,NA,NA,NA,NA,NA
17-2014,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.607641141,-0.431773723,-0.300327867,-0.689256615,-0.205121491,1.464012242,0.066154989,-0.006106891,T3,2014,-2.182444116,-0.286088668,0.240676734,0.240676734,-1.971737955,NA,NA,NA,NA,NA,NA,NA,NA,NA,T3,T3,T3,T3,T3,NA,NA,NA,NA,NA,NA,NA,NA,NA
18-2008,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.498556354,2.203152159,0.997598859,-0.635652888,-0.7242187,-0.331280517,1.489369574,-0.503696379,T1,2008,-1.550325633,0.767442136,-1.444972553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T1,T1,T1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19-2016,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.498556354,2.203152159,0.997598859,-0.635652888,-0.7242187,0.114925886,1.589231706,-0.503696379,T1,2016,-0.602147909,0.767442136,0.767442136,0.767442136,-2.182444116,NA,NA,NA,NA,NA,NA,NA,NA,NA,T1,T1,T1,T1,T1,NA,NA,NA,NA,NA,NA,NA,NA,NA
20-2017,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.498556354,2.203152159,0.997598859,-0.635652888,-0.7242187,0.114925886,1.300656986,-0.503696379,T1,2017,0.240676734,0.767442136,0.767442136,0.767442136,-0.286088668,NA,NA,NA,NA,NA,NA,NA,NA,NA,T1,T1,T1,T1,T1,NA,NA,NA,NA,NA,NA,NA,NA,NA
21-2008,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.405026398,2.040449122,0.475999898,-0.62618371,-0.7242187,-0.262272458,1.468849065,-0.503696379,T1,2008,-1.444972553,0.767442136,-0.075382507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T1,T1,T1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22-2016,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.405026398,2.040449122,0.475999898,-0.62618371,-0.7242187,0.180045202,1.496250768,-0.503696379,T1,2016,-0.70750099,0.767442136,0.767442136,0.767442136,-2.182444116,NA,NA,NA,NA,NA,NA,NA,NA,NA,T1,T1,T1,T1,T1,NA,NA,NA,NA,NA,NA,NA,NA,NA
23-2017,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.405026398,2.040449122,0.475999898,-0.62618371,-0.7242187,0.180045202,1.237019921,-0.503696379,T1,2017,0.240676734,0.767442136,0.767442136,0.767442136,-0.286088668,NA,NA,NA,NA,NA,NA,NA,NA,NA,T1,T1,T1,T1,T1,NA,NA,NA,NA,NA,NA,NA,NA,NA
24-2008,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.221175909,1.887012012,-0.048747242,-0.568514483,-0.7242187,-0.192096495,1.444842359,-0.503696379,T2,2008,-1.444972553,0.767442136,-1.444972553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T2,T2,T2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25-2014,0,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.556272664,0.038123185,0.109671834,-0.668601278,-0.059709523,1.373893623,0.41646996,-0.171970054,T3,2014,-1.761031794,0.767442136,0.767442136,0.767442136,-1.971737955,NA,NA,NA,NA,NA,NA,NA,NA,NA,T3,T3,T3,T3,T3,NA,NA,NA,NA,NA,NA,NA,NA,NA
26-2015,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.556272664,0.038123185,0.109671834,-0.668601278,-0.059709523,1.373893623,-0.038904321,-0.171970054,T3,2015,-2.287797196,0.767442136,0.767442136,0.767442136,-0.70750099,NA,NA,NA,NA,NA,NA,NA,NA,NA,T3,T3,T3,T3,T3,NA,NA,NA,NA,NA,NA,NA,NA,NA
27-2014,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.595285531,-0.214575699,0.418389734,-0.707602781,-0.287497561,1.376146711,-0.411948706,0.491482596,T3,2014,-1.761031794,0.767442136,0.767442136,0.767442136,-1.971737955,NA,NA,NA,NA,NA,NA,NA,NA,NA,T3,T3,T3,T3,T3,NA,NA,NA,NA,NA,NA,NA,NA,NA
28-2015,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.595285531,-0.214575699,0.418389734,-0.707602781,-0.287497561,1.376146711,-0.774432513,0.491482596,T3,2015,-1.444972553,0.767442136,0.767442136,0.767442136,-1.339619472,NA,NA,NA,NA,NA,NA,NA,NA,NA,T3,T3,T3,T3,T3,NA,NA,NA,NA,NA,NA,NA,NA,NA
